time [sec], angle [deg], angle velocity [deg/sec]
5.57003,-0.145298,-1.00708,0.0208551
5.58003,-0.155061,-0.945252,0.0199664
5.59003,-0.1642,-0.882467,0.0190476
5.60003,-0.172707,-0.818907,0.0181018
5.61003,-0.180576,-0.754752,0.0171322
5.62003,-0.187801,-0.690179,0.0161417
5.63003,-0.194379,-0.625362,0.0151332
5.64003,-0.200308,-0.560472,0.0141099
5.65003,-0.205589,-0.495675,0.0130747
5.66003,-0.210222,-0.431135,0.0120305
5.67003,-0.214213,-0.36701,0.01098
5.68004,-0.217564,-0.303452,0.00992629
5.69004,-0.220284,-0.240611,0.00887196
5.70004,-0.22238,-0.17863,0.00781974
5.71004,-0.22386,-0.117645,0.00677227
5.72004,-0.224736,-0.0577899,0.0057321
5.73004,-0.22502,0.000810645,0.00470171
5.74004,-0.224725,0.0580366,0.00368348
5.75004,-0.223864,0.113775,0.00267973
5.76004,-0.222454,0.167918,0.00169267
5.77004,-0.220512,0.220365,0.000724419
5.78004,-0.218053,0.271024,-0.000222997
5.79004,-0.215097,0.319806,-0.00114765
5.80004,-0.211663,0.366632,-0.00204774
5.81004,-0.207771,0.411428,-0.00292152
5.82004,-0.203442,0.454129,-0.00376741
5.83004,-0.198696,0.494673,-0.00458391
5.84004,-0.193556,0.53301,-0.00536961
5.85004,-0.188043,0.569092,-0.00612325
5.86004,-0.182182,0.60288,-0.00684365
5.87004,-0.175994,0.634344,-0.00752977
5.88004,-0.169503,0.663456,-0.00818065
5.89004,-0.162732,0.690199,-0.00879548
5.90004,-0.155707,0.714558,-0.00937352
5.91004,-0.148449,0.736529,-0.00991417
5.92004,-0.140984,0.756111,-0.0104169
5.93004,-0.133335,0.773311,-0.0108814
5.94004,-0.125526,0.78814,-0.0113073
5.95004,-0.11758,0.800616,-0.0116945
5.96004,-0.109521,0.810763,-0.0120428
5.97004,-0.101372,0.818609,-0.0123524
5.98004,-0.0931565,0.824188,-0.0126232
5.99004,-0.084896,0.827539,-0.0128556
6.00004,-0.076613,0.828706,-0.0130498
6.01004,-0.068329,0.827737,-0.0132063
6.02004,-0.0600652,0.824685,-0.0133255
6.03004,-0.0518421,0.819605,-0.013408
6.04004,-0.0436796,0.812559,-0.0134545
6.05004,-0.0355972,0.80361,-0.0134656
6.06004,-0.0276135,0.792826,-0.0134422
6.07004,-0.0197466,0.780277,-0.0133852
6.08004,-0.0120136,0.766037,-0.0132954
6.09004,-0.00443122,0.750181,-0.0131739
6.10004,0.00298487,0.732787,-0.0130217
6.11004,0.0102197,0.713937,-0.01284
6.12005,0.017259,0.693711,-0.0126298
6.13005,0.0240896,0.672193,-0.0123924
6.14005,0.0306989,0.649469,-0.0121291
6.15005,0.0370752,0.625625,-0.011841
6.16005,0.0432079,0.600747,-0.0115296
6.17005,0.049087,0.574923,-0.0111961
6.18005,0.0547035,0.548241,-0.010842
6.19005,0.0600493,0.520789,-0.0104685
6.20005,0.065117,0.492654,-0.0100772
6.21005,0.0699004,0.463925,-0.00966936
6.22005,0.0743938,0.434689,-0.00924649
6.23005,0.0785927,0.405031,-0.00881
6.24005,0.0824933,0.375037,-0.00836132
6.25005,0.0860926,0.344791,-0.00790186
6.26005,0.0893886,0.314377,-0.00743306
6.27005,0.0923799,0.283874,-0.00695633
6.28005,0.095066,0.253364,-0.00647306
6.29005,0.0974474,0.222924,-0.00598464
6.30005,0.099525,0.192629,-0.00549243
6.31005,0.101301,0.162554,-0.00499777
6.32005,0.102777,0.132769,-0.00450198
6.33005,0.103957,0.103344,-0.00400634
6.34005,0.104845,0.0743458,-0.00351212
6.35005,0.105446,0.0458372,-0.00302054
6.36005,0.105764,0.0178797,-0.00253278
6.37005,0.105805,-0.00946848,-0.00205001
6.38005,0.105577,-0.036152,-0.00157332
6.39005,0.105085,-0.0621186,-0.0011038
6.40005,0.104337,-0.087319,-0.000642464
6.41005,0.103341,-0.111707,-0.000190298
6.42005,0.102106,-0.135239,0.000251763
6.43005,0.100639,-0.157877,0.000682825
6.44005,0.0989513,-0.179582,0.00110206
6.45005,0.0970509,-0.200322,0.00150867
6.46005,0.0949481,-0.220066,0.00190191
6.47005,0.092653,-0.238788,0.00228111
6.48005,0.0901759,-0.256464,0.00264562
6.49005,0.0875273,-0.273074,0.00299486
6.50005,0.084718,-0.288599,0.0033283
6.51005,0.081759,-0.303027,0.00364546
6.52005,0.0786612,-0.316345,0.00394592
6.53005,0.0754358,-0.328547,0.0042293
6.54005,0.072094,-0.339626,0.00449528
6.55006,0.068647,-0.349583,0.00474359
6.56006,0.0651061,-0.358416,0.00497402
6.57006,0.0614824,-0.36613,0.00518639
6.58006,0.0577872,-0.372732,0.00538059
6.59006,0.0540314,-0.378231,0.00555655
6.60006,0.0502262,-0.382639,0.00571425
6.61006,0.0463822,-0.38597,0.00585371
6.62006,0.0425103,-0.388241,0.00597502
6.63006,0.0386209,-0.38947,0.00607828
6.64006,0.0347243,-0.38968,0.00616365
6.65006,0.0308306,-0.388894,0.00623134
6.66006,0.0269497,-0.387136,0.00628159
6.67006,0.023091,-0.384434,0.00631468
6.68006,0.019264,-0.380817,0.00633092
6.69006,0.0154777,-0.376316,0.00633068
6.70006,0.0117406,-0.370963,0.00631433
6.71006,0.00806112,-0.364792,0.0062823
6.72006,0.00444734,-0.357836,0.00623503
6.73006,0.000906888,-0.350133,0.006173
6.74006,-0.00255295,-0.341719,0.00609672
6.75006,-0.00592526,-0.332633,0.00600671
6.76006,-0.0092035,-0.322914,0.00590353
6.77006,-0.0123816,-0.3126,0.00578774
6.78006,-0.0154537,-0.301732,0.00565993
6.79006,-0.0184145,-0.290352,0.00552072
6.80006,-0.0212591,-0.278498,0.00537071
6.81006,-0.023983,-0.266214,0.00521056
6.82006,-0.0265821,-0.25354,0.0050409
6.83006,-0.0290527,-0.240518,0.00486238
6.84006,-0.0313914,-0.227189,0.00467567
6.85006,-0.0335956,-0.213594,0.00448144
6.86006,-0.0356626,-0.199774,0.00428036
6.87006,-0.0375904,-0.185769,0.00407309
6.88006,-0.0393775,-0.17162,0.00386031
6.89006,-0.0410225,-0.157365,0.00364269
6.90006,-0.0425245,-0.143043,0.0034209
6.91006,-0.0438832,-0.128693,0.0031956
6.92006,-0.0450984,-0.114352,0.00296745
6.93006,-0.0461704,-0.100056,0.00273709
6.94006,-0.0470998,-0.0858394,0.00250515
6.95006,-0.0478876,-0.0717378,0.00227228
6.96006,-0.0485351,-0.0577839,0.00203908
6.97006,-0.0490439,-0.0440098,0.00180615
6.98006,-0.049416,-0.0304463,0.00157408
6.99007,-0.0496536,-0.017123,0.00134344
7.00007,-0.0497593,-0.00406821,0.00111479
7.01007,-0.0497359,0.00869119,0.000888653
7.02007,-0.0495866,0.0211296,0.000665551
7.03007,-0.0493145,0.033223,0.000445982
7.04007,-0.0489233,0.0449486,0.00023042
7.05007,-0.0484168,0.0562851,1.93201e-05
7.06007,-0.047799,0.067213,-0.000186884
7.07007,-0.047074,0.0777138,-0.000387783
7.08007,-0.0462462,0.087771,-0.00058299
7.09007,-0.0453201,0.0973692,-0.000772142
7.10007,-0.0443004,0.106495,-0.0009549
7.11007,-0.0431918,0.115136,-0.00113095
7.12007,-0.0419993,0.123282,-0.00129999
7.13007,-0.0407279,0.130923,-0.00146177
7.14007,-0.0393826,0.138052,-0.00161604
7.15007,-0.0379686,0.144662,-0.00176258
7.16007,-0.0364911,0.15075,-0.00190121
7.17007,-0.0349553,0.156312,-0.00203175
7.18007,-0.0333666,0.161346,-0.00215407
7.19007,-0.0317302,0.165851,-0.00226803
7.20007,-0.0300513,0.169828,-0.00237356
7.21007,-0.0283353,0.173281,-0.00247058
7.22007,-0.0265875,0.176211,-0.00255904
7.23007,-0.0248128,0.178625,-0.00263891
7.24007,-0.0230167,0.180527,-0.0027102
7.25007,-0.021204,0.181926,-0.00277292
7.26007,-0.0193798,0.182829,-0.00282712
7.27007,-0.017549,0.183245,-0.00287286
7.28007,-0.0157165,0.183186,-0.00291021
7.29007,-0.0138869,0.182661,-0.00293928
7.30007,-0.0120648,0.181685,-0.0029602
7.31007,-0.0102546,0.180268,-0.00297309
7.32007,-0.0084608,0.178427,-0.00297811
7.33007,-0.00668746,0.176174,-0.00297544
7.34007,-0.00493864,0.173526,-0.00296526
7.35007,-0.00321821,0.170498,-0.00294777
7.36007,-0.00152989,0.167108,-0.00292319
7.37007,0.000122786,0.163371,-0.00289175
7.38007,0.00173644,0.159306,-0.00285368
7.39007,0.00330788,0.154932,-0.00280925
7.40007,0.0048341,0.150265,-0.00275871
7.41007,0.00631227,0.145325,-0.00270233
7.42007,0.00773976,0.140132,-0.0026404
7.43008,0.00911412,0.134703,-0.0025732
7.44008,0.0104331,0.129059,-0.00250102
7.45008,0.0116946,0.123218,-0.00242417
7.46008,0.0128969,0.117201,-0.00234296
7.47008,0.0140381,0.111026,-0.00225768
7.48008,0.0151169,0.104714,-0.00216865
7.49008,0.016132,0.0982829,-0.0020762
7.50008,0.0170823,0.0917524,-0.00198062
7.51008,0.0179668,0.0851413,-0.00188224
7.52008,0.0187849,0.0784685,-0.00178138
7.53008,0.019536,0.0717523,-0.00167835
7.54008,0.0202198,0.0650107,-0.00157346
7.55008,0.0208362,0.0582617,-0.00146702
7.56008,0.0213851,0.0515225,-0.00135935
7.57008,0.0218667,0.04481,-0.00125073
7.58008,0.0222815,0.0381407,-0.00114148
7.59008,0.0226298,0.0315306,-0.00103188
7.60008,0.0229123,0.0249951,-0.000922221
7.61008,0.02313,0.018549,-0.000812786
7.62008,0.0232836,0.0122067,-0.000703844
7.63008,0.0233745,0.00598187,-0.000595664
7.64008,0.0234037,-0.000112371,-0.000488501
7.65008,0.0233727,-0.00606359,-0.000382606
7.66008,0.023283,-0.01186,-0.000278217
7.67008,0.0231361,-0.0174905,-0.000175565
7.68008,0.0229337,-0.0229446,-7.4871e-05
7.69008,0.0226778,-0.0282125,2.36558e-05
7.70008,0.0223701,-0.0332853,0.000119815
7.71008,0.0220128,-0.0381546,0.000213416
7.72008,0.0216078,-0.0428127,0.000304283
7.73008,0.0211572,-0.0472529,0.000392246
7.74008,0.0206634,-0.0514687,0.000477152
7.75008,0.0201286,-0.0554549,0.000558855
7.76008,0.0195551,-0.0592066,0.000637222
7.77008,0.0189453,-0.0627198,0.000712132
7.78008,0.0183015,-0.0659911,0.000783476
7.79008,0.0176263,-0.0690178,0.000851155
7.80008,0.016922,-0.0717981,0.000915083
7.81008,0.0161912,-0.0743305,0.000975185
7.82008,0.0154362,-0.0766145,0.0010314
7.83008,0.0146597,-0.07865,0.00108367
7.84008,0.013864,-0.0804377,0.00113196
7.85008,0.0130518,-0.0819789,0.00117624
7.86009,0.0122253,-0.0832754,0.00121649
7.87009,0.0113871,-0.0843296,0.0012527
7.88009,0.0105395,-0.0851445,0.00128487
7.89009,0.00968496,-0.0857237,0.00131303
7.90009,0.00882579,-0.0860712,0.00133718
7.91009,0.00796429,-0.0861915,0.00135736
7.92009,0.0071027,-0.0860897,0.00137362
7.93009,0.00624322,-0.0857712,0.001386
7.94009,0.00538798,-0.085242,0.00139456
7.95009,0.00453906,-0.0845082,0.00139938
7.96009,0.00369848,-0.0835765,0.00140052
7.97009,0.00286817,-0.082454,0.00139807
7.98009,0.00205001,-0.081148,0.00139212
7.99009,0.00124579,-0.0796661,0.00138277
8.00009,0.000457245,-0.0780162,0.00137011
8.01009,-0.000313998,-0.0762064,0.00135427
8.02009,-0.00106638,-0.0742451,0.00133535
8.03009,-0.00179842,-0.0721408,0.00131348
8.04009,-0.00250875,-0.0699022,0.00128878
8.05009,-0.00319605,-0.0675382,0.00126138
8.06009,-0.00385912,-0.0650577,0.00123141
8.07009,-0.00449685,-0.0624697,0.001199
8.08009,-0.00510819,-0.0597834,0.00116431
8.09009,-0.00569222,-0.0570079,0.00112747
8.10009,-0.00624808,-0.0541524,0.00108862
8.11009,-0.00677503,-0.0512259,0.00104791
8.12009,-0.00727239,-0.0482376,0.00100548
8.13009,-0.0077396,-0.0451965,0.000961494
8.14009,-0.00817618,-0.0421117,0.000916089
8.15009,-0.00858172,-0.038992,0.000869416
8.16009,-0.00895593,-0.0358461,0.000821625
8.17009,-0.00929859,-0.0326827,0.000772862
8.18009,-0.00960956,-0.0295102,0.000723274
8.19009,-0.00988879,-0.0263369,0.000673008
8.20009,-0.0101363,-0.023171,0.000622207
8.21009,-0.0103523,-0.0200202,0.000571012
8.22009,-0.0105368,-0.0168923,0.000519562
8.23009,-0.0106902,-0.0137946,0.000467996
8.24009,-0.0108128,-0.0107344,0.000416447
8.25009,-0.010905,-0.00771857,0.000365046
8.26009,-0.0109674,-0.00475372,0.000313919
8.27009,-0.0110003,-0.00184622,0.000263191
8.28009,-0.0110045,0.000997878,0.000212982
8.29009,-0.0109806,0.00377283,0.000163407
8.30009,-0.0109293,0.00647318,0.000114577
8.31009,-0.0108514,0.00909382,6.65984e-05
8.3201,-0.0107477,0.0116299,1.95747e-05
8.3301,-0.0106191,0.0140771,-2.63974e-05
8.3401,-0.0104665,0.0164311,-7.12257e-05
8.3501,-0.0102908,0.0186881,-0.000114823
8.3601,-0.010093,0.0208447,-0.000157107
8.3701,-0.00987423,0.0228978,-0.000198
8.3801,-0.00963543,0.0248445,-0.000237432
8.3901,-0.0093777,0.0266825,-0.000275337
8.4001,-0.00910215,0.0284094,-0.000311653
8.4101,-0.00880989,0.0300237,-0.000346325
8.4201,-0.00850206,0.0315237,-0.000379304
8.4301,-0.0081798,0.0329084,-0.000410546
8.4401,-0.00784428,0.0341769,-0.000440011
8.4501,-0.00749665,0.0353287,-0.000467666
8.4601,-0.00713809,0.0363637,-0.000493484
8.4701,-0.00676977,0.0372819,-0.000517441
8.4801,-0.00639284,0.0380837,-0.00053952
8.4901,-0.00600848,0.0387698,-0.00055971
8.5001,-0.00561783,0.0393412,-0.000578002
8.5101,-0.00522204,0.0397991,-0.000594395
8.5201,-0.00482222,0.0401451,-0.000608892
8.5301,-0.0044195,0.0403807,-0.0006215
8.5401,-0.00401497,0.0405081,-0.000632231
8.5501,-0.00360969,0.0405294,-0.000641102
8.5601,-0.00320472,0.0404472,-0.000648134
8.5701,-0.00280109,0.0402639,-0.000653351
8.5801,-0.00239977,0.0399824,-0.000656785
8.5901,-0.00200176,0.0396058,-0.000658466
8.6001,-0.00160796,0.0391373,-0.000658433
8.6101,-0.00121931,0.0385801,-0.000656725
8.6201,-0.000836647,0.0379378,-0.000653386
8.6301,-0.000460822,0.037214,-0.000648462
8.6401,-9.26263e-05,0.0364125,-0.000642004
8.6501,0.000267181,0.0355371,-0.000634063
8.6601,0.000617882,0.0345917,-0.000624695
8.6701,0.000958796,0.0335805,-0.000613957
8.6801,0.00128929,0.0325075,-0.000601908
8.6901,0.00160876,0.031377,-0.000588609
8.7001,0.00191665,0.030193,-0.000574125
8.7101,0.00221245,0.02896,-0.000558518
8.7201,0.0024957,0.0276822,-0.000541856
8.7301,0.00276596,0.0263638,-0.000524206
8.7401,0.00302285,0.0250093,-0.000505635
8.7501,0.00326604,0.0236228,-0.000486212
8.76011,0.00349522,0.0222087,-0.000466007
8.77011,0.00371014,0.0207712,-0.000445089
8.78011,0.00391058,0.0193145,-0.000423529
8.79011,0.00409638,0.0178428,-0.000401396
8.80011,0.0042674,0.0163601,-0.00037876
8.81011,0.00442356,0.0148706,-0.00035569
8.82011,0.0045648,0.0133781,-0.000332256
8.83011,0.00469112,0.0118865,-0.000308525
8.84011,0.00480255,0.0103996,-0.000284565
8.85011,0.00489914,0.00892106,-0.000260441
8.86011,0.00498101,0.00745445,-0.000236221
8.87011,0.00504828,0.00600322,-0.000211966
8.88011,0.00510113,0.00457071,-0.00018774
8.89011,0.00513977,0.00316012,-0.000163604
8.90011,0.00516442,0.00177452,-0.000139616
8.91011,0.00517535,0.000416863,-0.000115836
8.92011,0.00517286,-0.000910059,-9.23172e-05
8.93011,0.00515726,-0.00220359,-6.91147e-05
8.94011,0.00512891,-0.00346121,-4.62797e-05
8.95011,0.00508817,-0.00468057,-2.38617e-05
8.96011,0.00503543,-0.00585946,-1.90814e-06
8.97011,0.00497112,-0.00699583,1.95361e-05
8.98011,0.00489566,-0.00808779,4.04284e-05
8.99011,0.00480952,-0.00913359,6.07286e-05
9.00011,0.00471315,-0.0101317,8.03987e-05
9.01011,0.00460705,-0.0110806,9.94035e-05
9.02011,0.00449171,-0.011979,0.00011771
9.03011,0.00436764,-0.012826,0.000135289
9.04011,0.00423536,-0.0136205,0.000152111
9.05011,0.00409541,-0.0143617,0.000168153
9.06011,0.00394831,-0.015049,0.000183391
9.07011,0.00379461,-0.015682,0.000197805
9.08011,0.00363485,-0.0162602,0.000211378
9.09011,0.00346959,-0.0167834,0.000224096
9.10011,0.00329936,-0.0172518,0.000235945
9.11011,0.00312473,-0.0176652,0.000246917
9.12011,0.00294624,-0.018024,0.000257003
9.13011,0.00276444,-0.0183286,0.000266199
9.14011,0.00257985,-0.0185793,0.000274503
9.15011,0.00239303,-0.018777,0.000281913
9.16011,0.00220449,-0.0189222,0.000288433
9.17011,0.00201475,-0.0190158,0.000294066
9.18011,0.00182434,-0.0190589,0.000298818
9.19011,0.00163374,-0.0190525,0.000302699
9.20012,0.00144345,-0.0189978,0.000305719
9.21012,0.00125394,-0.018896,0.00030789
9.22012,0.00106568,-0.0187484,0.000309227
9.23012,0.00087912,-0.0185567,0.000309746
9.24012,0.000694691,-0.0183222,0.000309464
9.25012,0.000512813,-0.0180466,0.000308402
9.26012,0.000333891,-0.0177315,0.000306579
9.27012,0.000158309,-0.0173787,0.00030402
9.28012,-1.3563e-05,-0.0169899,0.000300746
9.29012,-0.000181375,-0.016567,0.000296784
9.30012,-0.000344795,-0.0161118,0.00029216
9.31012,-0.00050351,-0.0156263,0.0002869
9.32012,-0.000657227,-0.0151124,0.000281034
9.33012,-0.000805671,-0.0145721,0.000274589
9.34012,-0.000948589,-0.0140074,0.000267598
9.35012,-0.00108574,-0.0134203,0.000260088
9.36012,-0.00121693,-0.0128127,0.000252093
9.37012,-0.00134194,-0.0121868,0.000243644
9.38012,-0.00146061,-0.0115445,0.000234773
9.39012,-0.00157278,-0.0108879,0.000225512
9.40012,-0.00167832,-0.010219,0.000215894
9.41012,-0.00177713,-0.00953973,0.000205952
9.42012,-0.00186909,-0.0088521,0.000195719
9.43012,-0.00195415,-0.00815805,0.000185227
9.44012,-0.00203224,-0.00745949,0.00017451
9.45012,-0.00210333,-0.00675832,0.0001636
9.46012,-0.0021674,-0.00605637,0.000152529
9.47012,-0.00222446,-0.00535545,0.000141329
9.48012,-0.00227452,-0.00465732,0.000130032
9.49012,-0.00231762,-0.00396369,0.000118669
9.50012,-0.00235381,-0.00327622,0.00010727
9.51012,-0.00238317,-0.00259652,9.58646e-05
9.52012,-0.00240578,-0.00192613,8.44826e-05
9.53012,-0.00242173,-0.00126654,7.31523e-05
9.54012,-0.00243115,-0.000619169,6.19011e-05
9.55012,-0.00243416,1.46101e-05,5.0756e-05
9.56012,-0.0024309,0.000633508,3.97428e-05
9.57012,-0.00242154,0.0012363,2.88864e-05
9.58012,-0.00240624,0.00182183,1.82107e-05
9.59012,-0.00238517,0.002389,7.73879e-06
9.60012,-0.00235852,0.00293682,-2.50763e-06
9.61012,-0.0023265,0.00346433,-1.25076e-05
9.62012,-0.0022893,0.00397067,-2.22416e-05
9.63013,-0.00224716,0.00445505,-3.1691e-05
9.64013,-0.00220028,0.00491674,-4.08384e-05
9.65013,-0.0021489,0.00535511,-4.96677e-05
9.66013,-0.00209326,0.00576959,-5.81638e-05
9.67013,-0.00203359,0.00615968,-6.63129e-05
9.68013,-0.00197015,0.00652496,-7.41024e-05
9.69013,-0.00190317,0.00686508,-8.1521e-05
9.70013,-0.00183293,0.00717977,-8.85582e-05
9.71013,-0.00175966,0.00746881,-9.52054e-05
9.72013,-0.00168364,0.00773208,-0.000101455
9.73013,-0.00160511,0.00796951,-0.000107299
9.74013,-0.00152433,0.0081811,-0.000112734
9.75013,-0.00144157,0.00836692,-0.000117755
9.76013,-0.00135708,0.00852709,-0.000122358
9.77013,-0.00127112,0.00866182,-0.000126542
9.78013,-0.00118393,0.00877135,-0.000130306
9.79013,-0.00109577,0.00885599,-0.000133651
9.80013,-0.00100689,0.00891612,-0.000136577
9.81013,-0.00091753,0.00895215,-0.000139087
9.82013,-0.000827927,0.00896455,-0.000141184
9.83013,-0.000738316,0.00895386,-0.000142873
9.84013,-0.000648925,0.00892063,-0.000144159
9.85013,-0.000559976,0.00886548,-0.000145048
9.86013,-0.000471686,0.00878907,-0.000145547
9.87013,-0.000384263,0.00869207,-0.000145664
9.88013,-0.000297911,0.00857524,-0.000145407
9.89013,-0.000212822,0.00843932,-0.000144787
9.90013,-0.000129185,0.00828511,-0.000143812
9.91013,-4.71785e-05,0.00811342,-0.000142495
9.92013,3.30277e-05,0.00792512,-0.000140846
9.93013,0.000111271,0.00772105,-0.000138877
9.94013,0.000187399,0.00750212,-0.000136601
9.95013,0.000261267,0.00726923,-0.00013403
9.96013,0.00033274,0.0070233,-0.000131179
9.97013,0.000401693,0.00676525,-0.00012806
9.98013,0.000468008,0.00649603,-0.000124689
9.99013,0.000531579,0.00621659,-0.000121079
